Distance (m),Velocity (m/s),Power (W)
3240,34.7977446506943,2159399.9377464424
3270,34.89247472259773,2159399.9379169983
3300,34.98639765779035,2159399.938085035
3330,35.079646406146495,2159399.9382509827
3360,35.172236896356594,2159399.938414904
3390,35.26417937951718,2159399.938576841
3420,35.35548385544338,2159399.9387368364
3450,35.44616008082873,2159399.9388949308
3480,35.53619010890424,2159399.939051082
3510,35.588649066399356,2159399.939205182
3540,35.573287012985354,743696.5182310063
3570,35.5389318255977,0.0
3600,35.50457779718534,0.0
3630,35.47022490111446,0.0
3660,35.43587311056976,0.0
3690,35.40152257397776,0.0
3720,35.36717312539761,0.0
3750,35.33282468306568,0.0
3780,35.298477219631934,0.0
3810,35.26413070756569,0.0
3840,35.22978511915585,0.0
3870,35.195440448777845,0.0
3900,35.16109679412599,0.0
3930,35.12675396210163,0.0
3960,35.092411924460606,0.0
3990,35.058070652779065,0.0
4020,35.02373011845373,0.0
4050,34.98939029270211,0.0
4080,34.95505117441071,0.0
4110,34.92071279595812,0.0
4140,34.88637502294624,0.0
4170,34.8520378260612,0.0
4200,34.81770117581051,0.0
4230,34.783365042523336,0.0
4260,34.74902939635064,0.0
4290,34.714694208801674,0.0
4320,34.68035951728165,0.0
4350,34.64602520763755,0.0
4380,34.61169124949012,0.0
4410,34.57735761228243,0.0
4440,34.543024265280025,0.0
4470,34.508691177571194,0.0
4500,34.474358318067054,0.0
4530,34.44002566842775,0.0
4560,34.40569318843379,0.0
4590,34.37136082894444,0.0
4620,34.33702855834146,0.0
4650,34.302696344829805,0.0
4680,34.268364156437826,0.0
4710,34.234031961017415,0.0
4740,34.199699726244134,0.0
4770,34.16536740980426,0.0
4800,34.13103497081791,0.0
4830,34.09670238231049,0.0
4860,34.06236961142833,0.0
4890,34.02803662514168,0.0
4920,33.9937033902448,0.0
4950,33.95936987335608,0.0
4980,33.925036040918215,0.0
5010,33.89070185310492,0.0
5040,33.85636722405631,0.0
5070,33.822032166812456,0.0
5100,33.787696647286296,0.0
5130,33.75336063121511,0.0
5160,33.71902408416063,0.0
5190,33.684686971509116,0.0
5220,33.650349258471444,0.0
5250,33.61601091008319,0.0
5280,33.58167188331567,0.0
5310,33.547332056967306,0.0
5340,33.512991479775856,0.0
