m,eta,braking_eff,max_acc,max_braking,max_p,total_time,delta_s,speed_limit_csv_path,Train_energy_consumption,max_velocity
390000,0.85,0.8,0.7,0.3,1500000,420,100,8,29.914,92.11
390000,0.85,0.8,0.7,0.3,1500000,420,100,10,46.36,128.53
390000,0.85,0.8,0.7,0.3,1500000,480,100,8,27.057,75.36
390000,0.85,0.8,0.7,0.3,1500000,480,100,10,38.003,99.78
390000,0.85,0.8,0.7,0.3,1500000,480,100,12,54.463,130.45
390000,0.85,0.8,0.7,0.3,2000000,360,100,8,35.716,114.82
390000,0.85,0.8,0.7,0.3,2000000,420,100,8,29.992,89.54
390000,0.85,0.8,0.7,0.3,2000000,420,100,10,44.246,120.8
390000,0.85,0.8,0.7,0.3,2000000,480,100,8,27.385,74.48
390000,0.85,0.8,0.7,0.3,2000000,480,100,10,37.946,96.45
390000,0.85,0.8,0.7,0.3,2000000,480,100,12,52.748,123.77
390000,0.85,0.8,0.7,0.3,2500000,360,100,8,35.28,111.39
390000,0.85,0.8,0.7,0.3,2500000,420,100,8,30.218,88.25
390000,0.85,0.8,0.7,0.3,2500000,420,100,10,43.79,117.26
390000,0.85,0.8,0.7,0.3,2500000,480,100,8,27.732,73.97
390000,0.85,0.8,0.7,0.3,2500000,480,100,10,38.1,94.85
390000,0.85,0.8,0.7,0.3,2500000,480,100,12,52.303,119.57
390000,0.85,0.8,0.7,0.5,1500000,360,100,8,35.441,110.36
390000,0.85,0.8,0.7,0.5,1500000,420,100,8,30.366,87.73
390000,0.85,0.8,0.7,0.5,1500000,420,100,10,43.989,117.08
390000,0.85,0.8,0.7,0.5,1500000,480,100,8,28.44,73.44
390000,0.85,0.8,0.7,0.5,1500000,480,100,10,38.211,94.74
390000,0.85,0.8,0.7,0.5,1500000,480,100,12,52.505,121.12
390000,0.85,0.8,0.7,0.5,2000000,360,100,8,34.813,106.1
390000,0.85,0.8,0.7,0.5,2000000,420,100,8,30.677,85.74
390000,0.85,0.8,0.7,0.5,2000000,420,100,10,43.247,112.25
390000,0.85,0.8,0.7,0.5,2000000,420,100,12,62.697,140.0
390000,0.85,0.8,0.7,0.5,2000000,480,100,8,28.739,72.75
390000,0.85,0.8,0.7,0.5,2000000,480,100,10,38.29,92.22
390000,0.85,0.8,0.7,0.5,2000000,480,100,12,51.717,115.0
390000,0.85,0.8,0.7,0.5,2500000,360,100,8,34.758,103.75
390000,0.85,0.8,0.7,0.5,2500000,360,100,10,52.852,139.59
390000,0.85,0.8,0.7,0.5,2500000,420,100,8,31.008,84.82
390000,0.85,0.8,0.7,0.5,2500000,420,100,10,43.122,109.4
390000,0.85,0.8,0.7,0.5,2500000,420,100,12,60.839,139.26
390000,0.85,0.8,0.7,0.5,2500000,480,100,8,29.065,72.29
390000,0.85,0.8,0.7,0.5,2500000,480,100,10,38.506,91.02
390000,0.85,0.8,0.7,0.5,2500000,480,100,12,51.542,112.07
390000,0.85,0.8,0.7,0.7,1500000,360,100,8,35.733,107.0
390000,0.85,0.8,0.7,0.7,1500000,420,100,8,31.735,86.72
390000,0.85,0.8,0.7,0.7,1500000,420,100,10,44.205,113.9
390000,0.85,0.8,0.7,0.7,1500000,480,100,8,28.44,73.44
390000,0.85,0.8,0.7,0.7,1500000,480,100,10,39.856,93.2
390000,0.85,0.8,0.7,0.7,1500000,480,100,12,52.703,117.64
390000,0.85,0.8,0.7,0.7,2000000,360,100,8,35.393,103.4
