Time(s),Initial_Profile,Profile_iter_1,Profile_iter_2,Profile_iter_3,Profile_iter_4,Profile_iter_5,Profile_iter_6,Profile_iter_7,Profile_iter_8,Profile_iter_9,Profile_iter_10,Profile_iter_11,Profile_iter_12,Profile_iter_13,Profile_iter_14,Profile_iter_15,Profile_iter_16,Profile_iter_17,Profile_iter_18,Profile_iter_19,Profile_iter_20,Profile_iter_21,Profile_iter_22,Profile_iter_23,Profile_iter_24,Profile_iter_25,Profile_iter_26,Profile_iter_27,Profile_iter_28,Profile_iter_29,Profile_iter_30,Profile_iter_31,Profile_iter_32,Profile_iter_33,Profile_iter_34,Profile_iter_35,Profile_iter_36,Profile_iter_37,Profile_iter_38,Profile_iter_39,Profile_iter_40,Profile_iter_41,Profile_iter_42,Profile_iter_43,Profile_iter_44,Profile_iter_45,Profile_iter_46,Profile_iter_47,Profile_iter_48,Profile_iter_49,Profile_iter_50,Profile_iter_51,Profile_iter_52,Profile_iter_53,Profile_iter_54,Profile_iter_55
415,1.4207543431608407,1.4207543431608407,1.4207543431608407,1.4207543431608407,1.4207543431608407,1.4207543431608407,1.4207543431608407,1.4207543431608407,1.4207543431608407,1.4207543431608407,1.4207543431608407,1.4207543431608407,1.4207543431608407,1.4207543431608407,1.4207543431608407,1.4207543431608407,1.422750737450985,1.422750737450985,1.422750737450985,1.422750737450985,1.422750737450985,1.422750737450985,1.422750737450985,1.4249354050652272,1.4249354050652272,1.4249354050652272,1.427378477901094,1.427378477901094,1.427378477901094,1.427378477901094,1.430067771459517,1.430067771459517,1.430067771459517,1.430067771459517,1.430067771459517,1.4331067212739967,1.4331067212739967,1.4331067212739967,1.4331067212739967,1.4331067212739967,1.4331067212739967,1.4366607998119167,1.4366607998119167,1.4366607998119167,1.4366607998119167,1.4404427955580084,1.4404427955580084,1.4404427955580084,1.4404427955580084,1.4404427955580086,1.4404427955580086,1.4449240051267043,1.4449240051267043,1.4449240051267043,1.4449240051267045,1.4449240051267045
416,1.4152553760379,1.4152553760379,1.4152553760379,1.4152553760379,1.4152553760379,1.4152553760379,1.4152553760379,1.4152553760379,1.4152553760379,1.4152553760379,1.4152553760379,1.4152553760379,1.4152553760379,1.4152553760379,1.4152553760379,1.4152553760379,1.4172977487326026,1.4172977487326026,1.4172977487326028,1.4172977487326028,1.4172977487326028,1.4172977487326028,1.4172977487326028,1.4194238619284456,1.4194238619284456,1.4194238619284456,1.421800000987643,1.421800000987643,1.421800000987643,1.421800000987643,1.4245419068460967,1.4245419068460967,1.424541906846097,1.424541906846097,1.424541906846097,1.427550896707812,1.427550896707812,1.427550896707812,1.427550896707812,1.427550896707812,1.427550896707812,1.4310192588474073,1.4310192588474073,1.4310192588474073,1.4310192588474073,1.4348725802180262,1.4348725802180262,1.4348725802180262,1.4348725802180262,1.4348725802180264,1.4348725802180264,1.4392427646322195,1.4392427646322195,1.4392427646322195,1.43924276463222,1.43924276463222
417,1.4097999818628468,1.4097999818628468,1.4097999818628468,1.4097999818628468,1.4097999818628468,1.4097999818628468,1.4097999818628468,1.4097999818628468,1.4097999818628468,1.4097999818628468,1.4097999818628468,1.4097999818628468,1.4097999818628468,1.4097999818628468,1.4097999818628468,1.4097999818628468,1.4118340444700217,1.4118340444700217,1.4118340444700217,1.4118340444700217,1.4118340444700217,1.4118340444700217,1.4118340444700217,1.4140290083542257,1.4140290083542257,1.4140290083542257,1.4163382136367535,1.4163382136367535,1.4163382136367537,1.4163382136367537,1.4190051849738334,1.4190051849738334,1.4190051849738334,1.4190051849738334,1.4190051849738334,1.4220984754506025,1.4220984754506025,1.4220984754506025,1.4220984754506025,1.4220984754506025,1.4220984754506025,1.4254944074454596,1.4254944074454596,1.4254944074454596,1.4254944074454596,1.4292812632893643,1.4292812632893643,1.4292812632893643,1.4292812632893643,1.4292812632893646,1.4292812632893646,1.4336782137002966,1.4336782137002966,1.4336782137002966,1.4336782137002968,1.4336782137002968
418,1.405001763954084,1.405001763954084,1.405001763954084,1.405001763954084,1.405001763954084,1.405001763954084,1.405001763954084,1.405001763954084,1.405001763954084,1.405001763954084,1.405001763954084,1.405001763954084,1.405001763954084,1.405001763954084,1.405001763954084,1.405001763954084,1.4069803270981731,1.4069803270981731,1.4069803270981731,1.4069803270981731,1.4069803270981733,1.4069803270981733,1.4069803270981733,1.4091425649024685,1.4091425649024685,1.4091425649024685,1.4115336025521543,1.4115336025521543,1.4115336025521543,1.4115336025521543,1.4141256393678603,1.4141256393678603,1.4141256393678603,1.4141256393678603,1.4141256393678603,1.4171348081485144,1.4171348081485144,1.4171348081485144,1.4171348081485144,1.4171348081485144,1.4171348081485144,1.420626732309802,1.420626732309802,1.420626732309802,1.420626732309802,1.4243075020690226,1.4243075020690226,1.4243075020690226,1.4243075020690226,1.4243075020690228,1.4243075020690228,1.4287390357395893,1.4287390357395893,1.4287390357395893,1.4287390357395893,1.4287390357395893
419,1.4012032996388237,1.4012032996388237,1.4012032996388237,1.4012032996388237,1.4012032996388237,1.4012032996388237,1.4012032996388237,1.4012032996388237,1.4012032996388237,1.4012032996388237,1.4012032996388237,1.4012032996388237,1.4012032996388237,1.4012032996388237,1.4012032996388237,1.4012032996388237,1.403126728819676,1.403126728819676,1.4031267288196763,1.4031267288196763,1.4031267288196763,1.4031267288196763,1.4031267288196763,1.405223490004592,1.405223490004592,1.405223490004592,1.4075712136008776,1.4075712136008776,1.4075712136008776,1.4075712136008776,1.4102462128552389,1.4102462128552389,1.4102462128552389,1.4102462128552389,1.4102462128552389,1.4131712599397779,1.4131712599397779,1.413171259939778,1.413171259939778,1.413171259939778,1.413171259939778,1.416612411728777,1.416612411728777,1.4166124117287773,1.4166124117287773,1.4203338599420325,1.4203338599420325,1.4203338599420325,1.4203338599420325,1.4203338599420325,1.4203338599420325,1.4246423062064673,1.4246423062064673,1.4246423062064673,1.4246423062064677,1.4246423062064677
420,1.7634642139267698,1.7457803458109253,1.7449980189306133,1.7354420460128581,1.736552172001198,1.7202166212043088,1.7204480315509474,1.697378719466367,1.6939467689618906,1.6834706487184932,1.6834884871809346,1.669615081138617,1.6788735654449076,1.6772501186725823,1.6671790017949626,1.6543215718283077,1.6560714392302853,1.6474506665220523,1.6549340786600637,1.6436162347579306,1.6538366414303152,1.6344373062601458,1.6298474202521394,1.6316789853449234,1.6284735452794803,1.6206903015525331,1.629159346582499,1.6320418722067953,1.6204962854387386,1.6199475450613154,1.6192256346555407,1.6239776667248884,1.6097714807765753,1.6182455242734526,1.6094008905427746,1.6146558531400466,1.6091487494579457,1.5986131200169982,1.5956223122225306,1.6010387483073134,1.5972346777242505,1.5997399315291805,1.600138558745392,1.5966610153719334,1.5906880219073307,1.5874312731549984,1.5872078056110248,1.59501518463879,1.5819516431744338,1.58372569957399,1.5777381746299177,1.5784394987190402,1.5906659676920685,1.5709331982769683,1.5712874731702522,1.5899639499001577
421,1.8296404840508174,1.8403446754170554,1.849674379461299,1.8592186060258233,1.872126290867333,1.8828415095709505,1.8939783396592222,1.9093191702764396,1.921214564347905,1.9344071235473845,1.9531876639658499,1.9590541931082728,1.9459732794777191,1.9337600249118447,1.921487309515562,1.9092740549496876,1.9112377033908818,1.8998346523997172,1.8998346523997172,1.8883760850940874,1.8883760850940874,1.876973034102923,1.8663265326120555,1.8684693298700468,1.8577709953631576,1.8471244938722902,1.8493808466621366,1.8394407906089343,1.8394407906089345,1.8294523409040613,1.832007696043985,1.8220676399907827,1.8220676399907827,1.8127872405433814,1.8034616590149315,1.80644513080953,1.7971647313621286,1.7971647313621286,1.7885002956622107,1.7885002956622107,1.7797936767310367,1.7831659456390594,1.7745015099391412,1.7745015099391415,1.7664122363421886,1.7700329688325243,1.7619043122092959,1.7619043122092959,1.7543520990638433,1.7543520990638433,1.746763117597332,1.751096836516708,1.7440461035874935,1.736961043818312,1.7369610438183123,1.7369610438183123
422,1.8296404840508174,1.8403446754170552,1.849674379461299,1.8592186060258231,1.8721262908673335,1.8828415095709503,1.893978339659222,1.9093191702764398,1.9212145643479048,1.9344071235473845,1.9531876639658496,1.9665307019131095,1.9822951504481983,2.0036966230634112,2.01920677629699,2.0377702721583413,2.0543198321797993,2.075703373768354,2.092864291537599,2.1116319873857763,2.1268361525734947,2.115073677049376,2.099103924813075,2.1011733571292304,2.0851258553688967,2.0691561031325953,2.071478223978543,2.056568139898739,2.05656813989874,2.04158546534143,2.0441241713683747,2.0292140872885716,2.0292140872885716,2.0152934881174698,2.0013051158247945,2.0041945666159506,1.9902739674448489,1.9902739674448489,1.9772773138949717,1.9772773138949717,1.9642173854982112,1.967636838217261,1.9546401846673838,1.954640184667384,1.9425062742719545,1.9460742980333674,1.9338813130985248,1.9338813130985248,1.9225529933803458,1.922552993380346,1.911169521180579,1.9154211652868802,1.9048450658930585,1.894217476239286,1.894217476239286,1.894217476239286
423,1.8296404840508174,1.8403446754170554,1.849674379461299,1.8592186060258231,1.8721262908673333,1.8828415095709503,1.8939783396592222,1.9093191702764398,1.9212145643479046,1.9344071235473845,1.9531876639658496,1.9665307019131095,1.982295150448198,2.0036966230634112,2.01920677629699,2.0377702721583413,2.0543198321797993,2.075703373768354,2.092864291537599,2.1116319873857767,2.1268361525734947,2.147939982439072,2.1611204240748347,2.174925160990726,2.185246040940614,2.1902736995359495,2.2001109658103117,2.2080098946257976,2.216529586860164,2.2204525399293016,2.226526406782382,2.232475446949638,2.2365924170473455,2.218031618152543,2.1993804550956426,2.202232769908524,2.1836719710137213,2.1836719710137213,2.1663430996138855,2.1663430996138855,2.1489298617515376,2.152242703155192,2.134913831755356,2.134913831755356,2.11873528456145,2.1224043947203626,2.106147081473906,2.106147081473906,2.091042655183,2.091042655183001,2.075864692249978,2.079979328136851,2.0658778622784215,2.0517077427400583,2.051707742740059,2.051707742740059
424,1.8296404840508174,1.8403446754170554,1.849674379461299,1.8592186060258231,1.8721262908673333,1.8828415095709503,1.8939783396592222,1.9093191702764398,1.9212145643479048,1.9344071235473845,1.9531876639658496,1.9665307019131095,1.9822951504481983,2.0036966230634112,2.01920677629699,2.0377702721583413,2.0543198321797993,2.075703373768354,2.092864291537599,2.1116319873857767,2.1268361525734947,2.1479399824390715,2.161120424074835,2.174925160990726,2.185246040940614,2.1902736995359495,2.2001109658103117,2.2080098946257976,2.216529586860164,2.220452539929302,2.226526406782382,2.232475446949638,2.2386493802830163,2.238737546345469,2.246914538488964,2.251941240317474,2.2612298811415354,2.266276643065601,2.2828461737046766,2.2867233359257355,2.299290889666657,2.3016835886158895,2.3151874395873753,2.3151874395873753,2.294964255594993,2.29852760357405,2.2782059620159787,2.2782059620159787,2.259325429152347,2.2593254291523475,2.240352975486069,2.244537451730868,2.226910619407832,2.209197969984878,2.2091979699848783,2.2091979699848783
425,1.8296404840508174,1.8403446754170554,1.849674379461299,1.8592186060258231,1.8721262908673333,1.8828415095709503,1.8939783396592222,1.9093191702764398,1.9212145643479048,1.9344071235473845,1.9531876639658496,1.9665307019131095,1.9822951504481983,2.0036966230634112,2.01920677629699,2.0377702721583413,2.0543198321797993,2.075703373768354,2.092864291537599,2.1116319873857763,2.1268361525734947,2.147939982439072,2.1611204240748347,2.174925160990726,2.185246040940614,2.1902736995359495,2.2001109658103117,2.2080098946257976,2.216529586860164,2.2204525399293016,2.226526406782382,2.232475446949638,2.2386493802830163,2.238737546345469,2.246914538488964,2.251941240317474,2.2612298811415354,2.266276643065601,2.2828461737046766,2.2867233359257355,2.299290889666657,2.301683588615889,2.3158041519329737,2.3175567777163546,2.331378574602026,2.3312387610251726,2.3396211431796154,2.342346635144398,2.3548268924342937,2.3533391956249585,2.3572839127849905,2.3550399730583504,2.365970867399714,2.3658368255048994,2.360804148023609,2.3607814252100083
426,1.8296404840508174,1.8403446754170554,1.849674379461299,1.8592186060258231,1.8721262908673333,1.8828415095709503,1.8939783396592222,1.9093191702764398,1.9212145643479048,1.9344071235473845,1.9531876639658496,1.9665307019131095,1.9822951504481983,2.0036966230634112,2.01920677629699,2.0377702721583413,2.0543198321797993,2.075703373768354,2.092864291537599,2.1116319873857763,2.1268361525734947,2.147939982439072,2.1611204240748347,2.174925160990726,2.185246040940614,2.1902736995359495,2.2001109658103117,2.2080098946257976,2.216529586860164,2.2204525399293016,2.226526406782382,2.232475446949638,2.2386493802830163,2.238737546345469,2.246914538488964,2.251941240317474,2.2612298811415354,2.266276643065601,2.2828461737046766,2.2867233359257355,2.299290889666657,2.3016835886158895,2.3158041519329737,2.3175567777163546,2.331378574602026,2.3312387610251726,2.3396211431796154,2.342346635144398,2.3548268924342937,2.3533391956249585,2.3572839127849905,2.3550399730583504,2.365970867399714,2.3658368255048994,2.360804148023609,2.3607814252100083
427,1.8296404840508174,1.8403446754170554,1.849674379461299,1.8592186060258231,1.8721262908673333,1.8828415095709503,1.8939783396592222,1.9093191702764398,1.9212145643479048,1.9344071235473845,1.9531876639658496,1.9665307019131095,1.9822951504481983,2.0036966230634112,2.01920677629699,2.0377702721583413,2.0543198321797993,2.075703373768354,2.092864291537599,2.1116319873857763,2.1268361525734947,2.147939982439072,2.1611204240748347,2.174925160990726,2.185246040940614,2.1902736995359495,2.2001109658103117,2.2080098946257976,2.216529586860164,2.2204525399293016,2.226526406782382,2.232475446949638,2.2386493802830163,2.238737546345469,2.246914538488964,2.251941240317474,2.2612298811415354,2.266276643065601,2.2828461737046766,2.2867233359257355,2.299290889666657,2.3016835886158895,2.3158041519329737,2.3175567777163546,2.331378574602026,2.3312387610251726,2.3396211431796154,2.342346635144398,2.3548268924342937,2.3533391956249585,2.3572839127849905,2.3550399730583504,2.365970867399714,2.3658368255048994,2.360804148023609,2.3607814252100083
428,1.9528833650138369,1.8805648024700643,1.849674379461299,1.8592186060258231,1.8721262908673333,1.8828415095709503,1.8939783396592222,1.9093191702764398,1.9212145643479048,1.9344071235473845,1.9531876639658496,1.9665307019131095,1.9822951504481983,2.0036966230634112,2.01920677629699,2.0377702721583413,2.0543198321797993,2.075703373768354,2.092864291537599,2.1116319873857763,2.1268361525734947,2.147939982439072,2.1611204240748347,2.174925160990726,2.185246040940614,2.1902736995359495,2.2001109658103117,2.2080098946257976,2.216529586860164,2.2204525399293016,2.226526406782382,2.232475446949638,2.2386493802830163,2.238737546345469,2.246914538488964,2.251941240317474,2.2612298811415354,2.266276643065601,2.2828461737046766,2.2867233359257355,2.299290889666657,2.3016835886158895,2.3158041519329737,2.3175567777163546,2.331378574602026,2.3312387610251726,2.3396211431796154,2.342346635144398,2.3548268924342937,2.3533391956249585,2.3572839127849905,2.3550399730583504,2.365970867399714,2.3658368255048994,2.360804148023609,2.3607814252100083
429,2.3137127568118547,2.233358798429885,2.15261363285034,2.072259674468371,1.997233829627513,1.9218427177718498,1.8939783396592222,1.9093191702764398,1.9212145643479048,1.9344071235473845,1.9531876639658496,1.9665307019131095,1.9822951504481983,2.0036966230634112,2.01920677629699,2.0377702721583413,2.0543198321797993,2.075703373768354,2.092864291537599,2.1116319873857763,2.1268361525734947,2.147939982439072,2.1611204240748347,2.174925160990726,2.185246040940614,2.1902736995359495,2.2001109658103117,2.2080098946257976,2.216529586860164,2.2204525399293016,2.226526406782382,2.232475446949638,2.2386493802830163,2.238737546345469,2.246914538488964,2.251941240317474,2.2612298811415354,2.266276643065601,2.2828461737046766,2.2867233359257355,2.299290889666657,2.3016835886158895,2.3158041519329737,2.3175567777163546,2.331378574602026,2.3312387610251726,2.3396211431796154,2.342346635144398,2.3548268924342937,2.3533391956249585,2.3572839127849905,2.3550399730583504,2.365970867399714,2.3658368255048994,2.360804148023609,2.3607814252100083
430,2.6720211560113913,2.583631801791224,2.4948121196537247,2.4064227654335584,2.323894336108615,2.2409641130673856,2.158435683742442,2.081380140320082,2.003949448195569,1.9344071235473845,1.9531876639658496,1.9665307019131095,1.9822951504481983,2.0036966230634112,2.01920677629699,2.0377702721583413,2.0543198321797993,2.075703373768354,2.092864291537599,2.1116319873857763,2.1268361525734947,2.147939982439072,2.1611204240748347,2.174925160990726,2.185246040940614,2.1902736995359495,2.2001109658103117,2.2080098946257976,2.216529586860164,2.2204525399293016,2.226526406782382,2.232475446949638,2.2386493802830163,2.238737546345469,2.246914538488964,2.251941240317474,2.2612298811415354,2.266276643065601,2.2828461737046766,2.2867233359257355,2.299290889666657,2.3016835886158895,2.3158041519329737,2.3175567777163546,2.331378574602026,2.3312387610251726,2.3396211431796154,2.342346635144398,2.3548268924342937,2.3533391956249585,2.3572839127849905,2.3550399730583504,2.365970867399714,2.3658368255048994,2.360804148023609,2.3607814252100083
