Time(s),Initial_Profile,Profile_iter_1,Profile_iter_2
60,-0.15591497932833664,-0.1551329175883056,-0.10175822804598955
61,-0.1283709299992437,-0.1283709299992437,-0.1283709299992437
62,-0.1289053340958427,-0.1289053340958427,-0.1289053340958427
63,-0.1294381678867148,-0.1294381678867148,-0.1294381678867148
64,-0.12996940863911344,-0.12996940863911344,-0.12996940863911344
65,-0.13049903371968297,-0.13049903371968297,-0.13049903371968297
66,-0.1310270205958648,-0.1310270205958648,-0.1310270205958648
67,-0.13155334683729225,-0.13155334683729225,-0.13155334683729225
68,-0.13207799011718246,-0.13207799011718246,-0.13207799011718246
69,-0.13260092821371605,-0.13260092821371605,-0.13260092821371605
70,-0.1331221390114149,-0.1331221390114149,-0.1331221390114149
71,-0.13364160050250806,-0.13364160050250806,-0.13364160050250806
72,-0.1341592907882948,-0.1341592907882948,-0.1341592907882948
73,-0.13467518808049506,-0.13467518808049506,-0.13467518808049506
74,-0.135189270702597,-0.135189270702597,-0.135189270702597
75,-0.13570151709119427,-0.13570151709119427,-0.13570151709119427
76,-0.13621190579731568,-0.13621190579731568,-0.13621190579731568
77,-0.13672041548774772,-0.13672041548774772,-0.13672041548774772
78,-0.13722702494634953,-0.13722702494634953,-0.13722702494634953
79,-0.13773171307535803,-0.13773171307535803,-0.13773171307535803
80,-0.13823445889668717,-0.13823445889668717,-0.13823445889668717
81,-0.13873524155321726,-0.13873524155321726,-0.13873524155321726
82,-0.13923404031007602,-0.13923404031007602,-0.13923404031007602
83,-0.13973083455591384,-0.13973083455591384,-0.13973083455591384
84,-0.1402256038041666,-0.1402256038041666,-0.1402256038041666
85,-0.14071832769431303,-0.14071832769431303,-0.14071832769431303
86,-0.1412089859931216,-0.1412089859931216,-0.1412089859931216
87,-0.14169755859588962,-0.14169755859588962,-0.14169755859588962
88,-0.14218402552767417,-0.14218402552767417,-0.14218402552767417
89,-0.14266836694451157,-0.14266836694451157,-0.14266836694451157
90,-0.14315056313463193,-0.14315056313463193,-0.14315056313463193
91,-0.14363059451965932,-0.14363059451965932,-0.14363059451965932
92,-0.14410844165580872,-0.14410844165580872,-0.14410844165580872
93,-0.14458408523506838,-0.14458408523506838,-0.14458408523506838
94,-0.14505750608637724,-0.14505750608637724,-0.14505750608637724
95,-0.14552868517678974,-0.14552868517678974,-0.14552868517678974
96,-0.1459976036126326,-0.1459976036126326,-0.1459976036126326
97,-0.14646424264065272,-0.14646424264065272,-0.14646424264065272
98,-0.14692858364915362,-0.14692858364915362,-0.14692858364915362
99,-0.14739060816912408,-0.14739060816912408,-0.14739060816912408
100,-0.1478502978753553,-0.1478502978753553,-0.1478502978753553
101,-0.14830763458755059,-0.14830763458755059,-0.14830763458755059
102,-0.14876260027142096,-0.14876260027142096,-0.14876260027142096
103,-0.1492151770397765,-0.1492151770397765,-0.1492151770397765
104,-0.14966534715360214,-0.14966534715360214,-0.14966534715360214
105,-0.15011309302312636,-0.15011309302312636,-0.15011309302312636
106,-0.1505583972088801,-0.1505583972088801,-0.1505583972088801
107,-0.15100124242274293,-0.15100124242274293,-0.15100124242274293
108,-0.15144161152898084,-0.15144161152898084,-0.15144161152898084
109,-0.15187948754527247,-0.15187948754527247,-0.15187948754527247
110,-0.15231485364372632,-0.15231485364372632,-0.15231485364372632
111,-0.1527476931518853,-0.1527476931518853,-0.1527476931518853
112,-0.15317798955372286,-0.15317798955372286,-0.15317798955372286
113,-0.15360572649062687,-0.15360572649062687,-0.15360572649062687
114,-0.1540308877623724,-0.1540308877623724,-0.1540308877623724
115,-0.15445345732808635,-0.15445345732808635,-0.15445345732808635
116,-0.15487341930719734,-0.15487341930719734,-0.15487341930719734
117,-0.15529075798037806,-0.15529075798037806,-0.15529075798037806
118,-0.1557054577904743,-0.1557054577904743,-0.1557054577904743
119,-0.1561175033434239,-0.1561175033434239,-0.1561175033434239
120,-0.15788026200058025,-0.13613069141659184,-0.1914053937115684
121,-0.15693357092253135,-0.15693357092253135,-0.15693357092253135
122,-0.1573375629841386,-0.1573375629841386,-0.1573375629841386
123,-0.157738840861257,-0.157738840861257,-0.157738840861257
124,-0.15813738998867544,-0.15813738998867544,-0.15813738998867544
125,-0.1585331959695504,-0.1585331959695504,-0.1585331959695504
126,-0.15892624457624704,-0.15892624457624704,-0.15892624457624704
127,-0.15931652175116706,-0.15931652175116706,-0.15931652175116706
128,-0.1597040136075628,-0.1597040136075628,-0.1597040136075628
129,-0.16008870643034612,-0.16008870643034612,-0.16008870643034612
130,-0.16047058667687653,-0.16047058667687653,-0.16047058667687653
131,-0.16084964097774612,-0.16084964097774612,-0.16084964097774612
132,-0.16122585613754636,-0.16122585613754636,-0.16122585613754636
133,-0.16159921913562791,-0.16159921913562791,-0.16159921913562791
134,-0.16196971712684338,-0.16196971712684338,-0.16196971712684338
135,-0.16233733744228274,-0.16233733744228274,-0.16233733744228274
136,-0.16270206758999406,-0.16270206758999406,-0.16270206758999406
137,-0.1630638952556942,-0.1630638952556942,-0.1630638952556942
138,-0.16342280830346323,-0.16342280830346323,-0.16342280830346323
139,-0.1637787947764332,-0.1637787947764332,-0.1637787947764332
140,-0.1641318428974583,-0.1641318428974583,-0.1641318428974583
141,-0.16203493817723547,-0.16203493817723547,-0.16203493817723547
142,-0.15993507209257551,-0.15993507209257551,-0.15993507209257551
143,-0.1578322334094162,-0.1578322334094162,-0.1578322334094162
144,-0.15572641107598761,-0.15572641107598761,-0.15572641107598761
145,-0.15361759422342125,-0.15361759422342125,-0.15361759422342125
146,-0.1515057721663512,-0.1515057721663512,-0.1515057721663512
147,-0.1493909344034986,-0.1493909344034986,-0.1493909344034986
148,-0.14727307061824557,-0.14727307061824557,-0.14727307061824557
149,-0.14515217067919695,-0.14515217067919695,-0.14515217067919695
150,-0.14302822464072762,-0.14302822464072762,-0.14302822464072762
151,-0.14090122274351924,-0.14090122274351924,-0.14090122274351924
152,-0.13877115541508234,-0.13877115541508234,-0.13877115541508234
153,-0.1366380132702678,-0.1366380132702678,-0.1366380132702678
154,-0.1345017871117632,-0.1345017871117632,-0.1345017871117632
155,-0.13236246793057838,-0.13236246793057838,-0.13236246793057838
156,-0.13022004690651678,-0.13022004690651678,-0.13022004690651678
157,-0.12807451540863501,-0.12807451540863501,-0.12807451540863501
158,-0.12592586499568836,-0.12592586499568836,-0.12592586499568836
159,-0.12377408741656504,-0.12377408741656504,-0.12377408741656504
160,-0.12051432522228889,-0.12051432522228889,-0.12051432522228889
161,-0.1155205277535678,-0.1155205277535678,-0.1155205277535678
162,-0.1105235795102657,-0.1105235795102657,-0.1105235795102657
163,-0.10552347300587306,-0.10552347300587306,-0.10552347300587306
164,-0.10052020094598457,-0.10052020094598457,-0.10052020094598457
165,-0.09551375622865232,-0.09551375622865232,-0.09551375622865232
166,-0.0905041319447315,-0.0905041319447315,-0.0905041319447315
167,-0.08549132137820559,-0.08549132137820559,-0.08549132137820559
168,-0.08047531800650487,-0.08047531800650487,-0.08047531800650487
169,-0.07622622870503037,-0.07622622870503037,-0.07622622870503037
170,-0.07205008751872455,-0.07205008751872455,-0.07205008751872455
171,-0.06787073512316966,-0.06787073512316966,-0.06787073512316966
172,-0.06368816577247327,-0.06368816577247327,-0.06368816577247327
173,-0.05950237391557034,-0.05950237391557034,-0.05950237391557034
174,-0.055313354196459885,-0.055313354196459885,-0.055313354196459885
175,-0.05112110145442761,-0.05112110145442761,-0.05112110145442761
176,-0.047765654610407826,-0.047765654610407826,-0.047765654610407826
177,-0.044446651920959646,-0.044446651920959646,-0.044446651920959646
178,-0.04112440190020328,-0.04112440190020328,-0.04112440190020328
179,-0.037798900170539884,-0.037798900170539884,-0.037798900170539884
180,-0.05242838736573874,-0.06921688772542411,-0.01724402087851007
181,-0.03113812505526503,-0.03113812505526503,-0.03113812505526503
182,-0.02858898905250018,-0.02858898905250018,-0.02858898905250018
183,-0.026324228076979872,-0.026324228076979872,-0.026324228076979872
184,-0.024056196450295664,-0.024056196450295664,-0.024056196450295664
185,-0.021784890973961635,-0.021784890973961635,-0.021784890973961635
186,-0.01951030864635661,-0.01951030864635661,-0.01951030864635661
187,-0.017232446662787892,-0.017232446662787892,-0.017232446662787892
188,-0.01591783448441808,-0.01591783448441808,-0.01591783448441808
189,-0.014650141123547122,-0.014650141123547122,-0.014650141123547122
190,-0.013379160874641194,-0.013379160874641194,-0.013379160874641194
191,-0.012104891721089861,-0.012104891721089861,-0.012104891721089861
192,-0.010827331843327848,-0.010827331843327848,-0.010827331843327848
193,-0.009956117810157261,-0.009956117810157261,-0.009956117810157261
194,-0.009554985482551848,-0.009554985482551848,-0.009554985482551848
195,-0.009150558154077393,-0.009150558154077393,-0.009150558154077393
196,-0.008742834793048937,-0.008742834793048937,-0.008742834793048937
197,-0.00833181456460852,-0.00833181456460852,-0.00833181456460852
198,-0.00805459614963755,-0.00805459614963755,-0.00805459614963755
199,-0.008374112416943968,-0.008374112416943968,-0.008374112416943968
200,-0.008690330492333365,-0.008690330492333365,-0.008690330492333365
201,-0.009003250327292212,-0.009003250327292212,-0.009003250327292212
202,-0.00931287206958431,-0.00931287206958431,-0.00931287206958431
203,-0.009656451855692971,-0.009656451855692971,-0.009656451855692971
204,-0.010566923923694183,-0.010566923923694183,-0.010566923923694183
205,-0.01147409951841527,-0.01147409951841527,-0.01147409951841527
206,-0.012377979571095876,-0.012377979571095876,-0.012377979571095876
207,-0.013278565208369564,-0.013278565208369564,-0.013278565208369564
208,-0.014201979683027943,-0.014201979683027943,-0.014201979683027943
209,-0.015602191845581315,-0.015602191845581315,-0.015602191845581315
210,-0.016999114142765448,-0.016999114142765448,-0.016999114142765448
211,-0.01839274848049599,-0.01839274848049599,-0.01839274848049599
212,-0.01978309695887015,-0.01978309695887015,-0.01978309695887015
213,-0.021226646557278683,-0.021226646557278683,-0.021226646557278683
214,-0.023048419217456928,-0.023048419217456928,-0.023048419217456928
215,-0.02486691348076886,-0.02486691348076886,-0.02486691348076886
216,-0.026682132221083843,-0.026682132221083843,-0.026682132221083843
217,-0.02849407850491037,-0.02849407850491037,-0.02849407850491037
218,-0.03041269770201982,-0.03041269770201982,-0.03041269770201982
219,-0.03262183080982828,-0.03262183080982828,-0.03262183080982828
220,-0.03482770181297312,-0.03482770181297312,-0.03482770181297312
221,-0.03703031454491856,-0.03703031454491856,-0.03703031454491856
222,-0.03922967302990055,-0.03922967302990055,-0.03922967302990055
223,-0.04161313186736537,-0.04161313186736537,-0.04161313186736537
224,-0.04420883859779212,-0.04420883859779212,-0.04420883859779212
225,-0.04680130429442153,-0.04680130429442153,-0.04680130429442153
226,-0.049390533740334974,-0.049390533740334974,-0.049390533740334974
227,-0.05197653190719831,-0.05197653190719831,-0.05197653190719831
228,-0.05486059795780529,-0.05486059795780529,-0.05486059795780529
229,-0.057874520380383765,-0.057874520380383765,-0.057874520380383765
230,-0.06088522756559944,-0.06088522756559944,-0.06088522756559944
231,-0.06389272523457357,-0.06389272523457357,-0.06389272523457357
232,-0.06689701929450653,-0.06689701929450653,-0.06689701929450653
233,-0.07036891673356194,-0.07036891673356194,-0.07036891673356194
234,-0.07386424995641216,-0.07386424995641216,-0.07386424995641216
235,-0.07735639840284725,-0.07735639840284725,-0.07735639840284725
236,-0.08084536871887238,-0.08084536871887238,-0.08084536871887238
237,-0.08445734710149455,-0.08445734710149455,-0.08445734710149455
238,-0.08853140719840291,-0.08853140719840291,-0.08853140719840291
239,-0.09260231020006215,-0.09260231020006215,-0.09260231020006215
240,-0.08110433070399803,-0.07733539093646546,-0.09270185949256415
241,-0.10073467459998708,-0.10073467459998708,-0.10073467459998708
242,-0.10514323269689618,-0.10514323269689618,-0.10514323269689618
243,-0.10991756887750981,-0.10991756887750981,-0.10991756887750981
244,-0.11468878664111604,-0.11468878664111604,-0.11468878664111604
245,-0.11945689426040651,-0.11945689426040651,-0.11945689426040651
246,-0.12422190018548962,-0.12422190018548962,-0.12422190018548962
247,-0.12963804033923632,-0.12963804033923632,-0.12963804033923632
248,-0.13526750000864352,-0.13526750000864352,-0.13526750000864352
249,-0.14089388439149775,-0.14089388439149775,-0.14089388439149775
250,-0.14651720264035017,-0.14651720264035017,-0.14651720264035017
251,-0.1521412330253724,-0.1521412330253724,-0.1521412330253724
252,-0.15872648591699412,-0.15872648591699412,-0.15872648591699412
253,-0.1653087011716743,-0.1653087011716743,-0.1653087011716743
254,-0.17188788863230087,-0.17188788863230087,-0.17188788863230087
255,-0.178464058312369,-0.178464058312369,-0.178464058312369
256,-0.18350853019717872,-0.18350853019717872,-0.18350853019717872
257,-0.18348868229268966,-0.18348868229268966,-0.18348868229268966
258,-0.18346584766355944,-0.18346584766355944,-0.18346584766355944
259,-0.1834400369974496,-0.1834400369974496,-0.1834400369974496
260,-0.18341126114844264,-0.18341126114844264,-0.18341126114844264
261,-0.06347638937850619,-0.06347638937850619,-0.06347638937850619
262,0.05646142540108001,0.05646142540108001,0.05646142540108001
263,0.08329772845411598,0.08554256367759627,0.08719596856401235
264,0.08329772845411565,0.08554256367759638,0.08719596856401246
265,0.08329772845411543,0.08554256367759616,0.08719596856401224
266,0.08329772845411576,0.0855425636775965,0.08719596856401257
267,0.0832977284541161,0.08554256367759638,0.08719596856401246
268,0.08329772845411598,0.08554256367759627,0.08719596856401235
269,0.08329772845411598,0.08554256367759627,0.08719596856401257
270,0.08329772845411587,0.08554256367759616,0.08719596856401246
271,0.08329772845411576,0.08554256367759605,0.08719596856401235
272,0.08329772845411587,0.08554256367759616,0.08719596856401246
273,0.08329772845411587,0.08554256367759616,0.08719596856401246
274,0.08329772845411598,0.08554256367759627,0.08719596856401257
275,0.08329772845411587,0.08554256367759616,0.08719596856401246
276,0.08329772845411587,0.08554256367759616,0.08719596856401246
277,0.08329772845411587,0.08554256367759638,0.08719596856401246
278,0.08329772845411587,0.08554256367759638,0.08719596856401246
279,0.08329772845411587,0.08554256367759616,0.08719596856401268
280,0.08329772845411587,0.08554256367759616,0.08719596856401268
281,0.08329772845411587,0.08554256367759638,0.08719596856401246
282,0.08329772845411587,0.08554256367759616,0.08719596856401268
283,0.08329772845411587,0.08554256367759616,0.08719596856401268
284,0.08329772845411587,0.08554256367759638,0.08719596856401246
285,0.08329772845411587,0.08554256367759638,0.08719596856401246
286,0.08329772845411587,0.08554256367759638,0.08719596856401246
287,0.08329772845411587,0.08554256367759616,0.08719596856401268
288,0.08329772845411587,0.08554256367759616,0.08719596856401268
289,0.08329772845411587,0.08554256367759638,0.08719596856401246
290,0.08329772845411587,0.08554256367759638,0.08719596856401246
291,0.08329772845411587,0.08554256367759638,0.08719596856401246
292,0.08329772845411587,0.08554256367759638,0.08719596856401246
293,0.08329772845411587,0.08554256367759638,0.08719596856401246
294,0.08329772845411587,0.08554256367759638,0.08719596856401246
295,0.08329772845411587,0.08554256367759616,0.08719596856401246
296,0.08329772845411587,0.08554256367759616,0.08719596856401246
297,0.08329772845411587,0.08554256367759616,0.08719596856401246
298,0.08329772845411587,0.08554256367759616,0.08719596856401246
299,0.08329772845411587,0.08554256367759616,0.08719596856401246
300,0.08329772845411587,0.08554256367759627,0.08719596856401246
301,0.08329772845411598,0.08554256367759627,0.08719596856401257
302,0.08329772845411587,0.08554256367759616,0.08719596856401246
303,0.08329772845411587,0.08554256367759616,0.08719596856401246
304,0.08329772845411587,0.08554256367759616,0.08719596856401246
305,0.08329772845411576,0.08554256367759605,0.08719596856401235
306,0.08329772845411587,0.08554256367759616,0.08719596856401246
307,0.08329772845411587,0.08554256367759616,0.08719596856401246
308,0.08329772845411587,0.08554256367759616,0.08719596856401246
309,0.08329772845411598,0.08554256367759627,0.08719596856401257
310,0.08329772845411576,0.08554256367759605,0.08719596856401235
311,0.08329772845411587,0.08554256367759616,0.08719596856401246
312,0.08329772845411598,0.08554256367759627,0.08719596856401257
313,0.08329772845411587,0.08554256367759616,0.08719596856401246
314,0.08329772845411587,0.08554256367759616,0.08719596856401246
315,0.08329772845411576,0.08554256367759605,0.08719596856401235
316,0.08329772845411598,0.08554256367759627,0.08719596856401257
317,0.08329772845411587,0.08554256367759616,0.08719596856401246
318,0.08329772845411598,0.08554256367759627,0.08719596856401257
319,0.08329772845411576,0.08554256367759605,0.08719596856401235
320,0.08329772845411587,0.08554256367759616,0.08719596856401246
321,0.08329772845411587,0.08554256367759616,0.08719596856401268
322,0.08329772845411598,0.08554256367759627,0.08719596856401235
323,0.08329772845411598,0.08554256367759627,0.08719596856401235
324,0.08329772845411543,0.08554256367759616,0.08719596856401224
325,0.08329772845411587,0.0855425636775966,0.08719596856401268
326,0.08329772845411598,0.08554256367759627,0.08719596856401235
327,0.08329772845411565,0.08554256367759638,0.08719596856401246
328,0.08329772845411587,0.0855425636775966,0.08719596856401268
329,0.08329772845411565,0.08554256367759638,0.08719596856401246
330,0.0832977284541162,0.0855425636775965,0.08719596856401257
331,0.08329772845411565,0.08554256367759638,0.08719596856401246
332,0.08329772845411554,0.08554256367759627,0.08719596856401235
333,0.08329772845411554,0.08554256367759627,0.08719596856401235
334,0.0832977284541161,0.08554256367759647,0.08719596856401246
335,0.08329772845411543,0.08554256367759633,0.08719596856401224
336,0.08329772845411554,0.0855425636775965,0.08719596856401235
337,0.08329772845411543,0.08554256367759627,0.08719596856401232
338,0.08329772845411543,0.08554256367759616,0.0871959685640124
339,0.08329772845411576,0.08554256367759616,0.08719596856401224
340,0.0832977284541161,0.08554256367759605,0.08719596856401257
341,0.08329772845411598,0.08554256367759616,0.08719596856401246
342,0.08329772845411582,0.0855425636775961,0.0871959685640124
343,0.08329772845411593,0.0855425636775961,0.08719596856401252
344,0.08329772845411576,0.08554256367759627,0.08719596856401235
345,0.08329772845411587,0.08554256367759605,0.08719596856401257
346,0.08329772845411598,0.08554256367759605,0.08719596856401257
347,0.08329772845411587,0.08554256367759616,0.08719596856401246
348,0.08329772845411587,0.08554256367759616,0.08719596856401246
349,0.08329772845411598,0.0855425636775965,0.08719596856401235
350,0.08329772845411587,0.08554256367759616,0.08719596856401246
351,0.08329772845411587,0.08554256367759638,0.08719596856401246
352,0.08329772845411598,0.08554256367759627,0.08719596856401235
353,0.08329772845411587,0.08554256367759616,0.08719596856401246
354,0.08329772845411587,0.08554256367759616,0.08719596856401246
355,0.08329772845411587,0.08554256367759616,0.08719596856401268
356,0.08329772845411587,0.08554256367759616,0.08719596856401246
357,0.08329772845411587,0.08554256367759616,0.08719596856401246
358,0.08329772845411598,0.0855425636775965,0.08719596856401257
359,0.08329772845411598,0.0855425636775965,0.08719596856401257
360,0.08329772845411587,0.08554256367759616,0.08719596856401268
361,0.08329772845411576,0.08554256367759627,0.08719596856401235
362,0.08329772845411587,0.08554256367759638,0.08719596856401246
363,0.08329772845411587,0.08554256367759616,0.08719596856401268
364,0.08329772845411576,0.08554256367759627,0.08719596856401235
365,0.08329772845411598,0.0855425636775965,0.08719596856401257
366,0.08329772845411587,0.08554256367759616,0.08719596856401268
367,0.08329772845411587,0.08554256367759616,0.08719596856401268
368,0.08329772845411587,0.08554256367759616,0.08719596856401268
369,0.08329772845411587,0.08554256367759616,0.08719596856401268
370,0.08329772845411587,0.08554256367759616,0.08719596856401268
371,0.08329772845411587,0.08554256367759616,0.08719596856401268
372,0.08329772845411598,0.0855425636775965,0.08719596856401257
373,0.08329772845411587,0.08554256367759638,0.08719596856401246
374,0.08329772845411576,0.08554256367759627,0.08719596856401235
375,0.08329772845411598,0.0855425636775965,0.08719596856401257
376,0.08329772845411576,0.08554256367759627,0.08719596856401235
377,0.08329772845411598,0.0855425636775965,0.08719596856401257
378,0.08329772845411587,0.08554256367759638,0.08719596856401246
379,0.08329772845411587,0.08554256367759638,0.08719596856401246
380,0.08329772845411576,0.08554256367759627,0.08719596856401235
381,0.08329772845411587,0.08554256367759616,0.08719596856401268
382,0.08329772845411587,0.08554256367759627,0.08719596856401268
383,0.08329772845411598,0.0855425636775965,0.08719596856401257
384,0.08329772845411587,0.08554256367759638,0.08719596856401246
385,0.08329772845411598,0.0855425636775965,0.08719596856401257
386,0.08329772845411576,0.08554256367759627,0.08719596856401235
387,0.08329772845411576,0.08554256367759627,0.08719596856401235
388,0.08329772845411587,0.08554256367759616,0.08719596856401268
389,0.08329772845411587,0.08554256367759638,0.08719596856401246
390,0.08329772845411587,0.08554256367759616,0.08719596856401268
391,0.08329772845411587,0.08554256367759616,0.08719596856401246
392,0.08329772845411587,0.08554256367759616,0.08719596856401246
393,0.08329772845411587,0.08554256367759616,0.08719596856401246
394,0.08329772845411587,0.08554256367759616,0.08719596856401246
395,0.08329772845411587,0.08554256367759616,0.08719596856401246
396,0.08329772845411587,0.08554256367759616,0.08719596856401246
397,0.08329772845411587,0.08554256367759622,0.08719596856401257
398,0.08329772845411576,0.08554256367759605,0.08719596856401246
399,0.08329772845411576,0.08554256367759605,0.08719596856401246
400,0.08329772845411587,0.08554256367759616,0.08719596856401235
401,0.08329772845411587,0.08554256367759616,0.08719596856401246
402,0.08329772845411587,0.08554256367759616,0.08719596856401246
403,0.08329772845411587,0.08554256367759638,0.08719596856401246
404,0.08329772845411587,0.08554256367759638,0.08719596856401246
405,0.08329772845411587,0.08554256367759616,0.08719596856401268
406,0.08329772845411587,0.08554256367759638,0.08719596856401246
407,0.08329772845411587,0.08554256367759638,0.08719596856401268
408,0.08329772845411587,0.08554256367759616,0.08719596856401268
409,0.08329772845411587,0.08554256367759616,0.08719596856401246
410,0.08329772845411587,0.08554256367759616,0.08719596856401268
411,0.08329772845411587,0.08554256367759616,0.08719596856401246
412,0.08329772845411587,0.08554256367759616,0.08719596856401246
413,0.13570474124353327,0.08554256367759616,0.08719596856401246
414,0.2393778914900211,0.11068571338715372,0.08719596856401246
415,0.3430510732143417,0.2146664822750879,0.08719596856401268
416,0.38146478421171226,0.26991174001104046,0.17398323624384915
417,0.31593302551352975,0.24092049515642655,0.1545161497444083
418,0.25040123495684385,0.21192921844330925,0.1350490313864643
419,0.18486939153625248,0.1829378888662867,0.11500019112345594
420,0.08329772845411587,0.16807450787063782,0.08719596856401246
421,0.11111246003695396,0.13810128052536497,0.12810485231936974
422,0.10746500165215078,0.13316131331869796,0.17005553264816164
423,0.1038174069549831,0.1282212097996671,0.20110080833794175
424,0.10574507823806378,0.1270235854158135,0.19630590146982074
425,0.10920816349295759,0.1293055450619811,0.19130032722957235
426,0.11264037063565047,0.13155662659594758,0.18603007975978536
427,0.11621665048514163,0.1338074893567338,0.18450224967581397
428,0.1265518777871597,0.14167992170347943,0.18693226244200534
429,0.13688684548510133,0.15092964078811177,0.18936201560412003
430,0.14722153326844611,0.16017907995814773,0.1917914888516381
431,0.15973391370361867,0.1704669461851167,0.19984247075498796
432,0.17584801180060627,0.18557443068655677,0.20910944304886825
433,0.19196176948830646,0.2006815747787094,0.21819302379150263
434,0.20807516675217608,0.21578835844703081,0.22834700482275805
435,0.228177184496396,0.2340683149663041,0.243657530141274
436,0.24967977283831844,0.25462493497479066,0.25896765524085774
437,0.2711642247929089,0.2751634185959453,0.2742773603437494
438,0.2930916269344229,0.2955455644877899,0.29266782861724816
439,0.3189587402873981,0.3205091796354391,0.3131504654400423
440,0.3448253748062129,0.345472315948928,0.3336326234286757
441,0.31034670992759383,0.3100901528649831,0.2938925758567431
442,0.278249208203986,0.27670173622220284,0.25873393921409327
443,0.24761326912340076,0.24518669033420348,0.2235747656723729
444,0.21686751594596276,0.2135618303493524,0.18824151987740567
445,0.18633235553214011,0.18193639520280258,0.15484119647677774
446,0.15895286075570914,0.15365204708850555,0.12345610128679985
447,0.1315727529253221,0.12539934079892223,0.09207039304286602
448,0.10409272125232061,0.09704671066672399,0.08719596856401268
449,0.08329772845411576,0.08554256367759605,0.08719596856401235
450,0.08329772845411576,0.08554256367759605,0.08719596856401246
451,0.08329772845411587,0.08554256367759605,0.08719596856401257
452,0.08329772845411587,0.08554256367759627,0.08719596856401235
453,0.08329772845411587,0.08554256367759616,0.08719596856401235
454,0.08329772845411598,0.08554256367759605,0.08719596856401235
455,0.08329772845411576,0.08554256367759616,0.08719596856401257
456,0.08329772845411587,0.08554256367759622,0.08719596856401268
457,0.08329772845411587,0.0855425636775961,0.08719596856401235
458,0.08329772845411593,0.08554256367759622,0.08719596856401246
459,0.08329772845411582,0.08554256367759622,0.08719596856401274
460,0.08329772845411576,0.0855425636775961,0.0871959685640124
