Time(s),Initial_Profile,Profile_iter_1,Profile_iter_2,Profile_iter_3,Profile_iter_4,Profile_iter_5,Profile_iter_6,Profile_iter_7,Profile_iter_8,Profile_iter_9,Profile_iter_10,Profile_iter_11,Profile_iter_12,Profile_iter_13,Profile_iter_14,Profile_iter_15,Profile_iter_16,Profile_iter_17,Profile_iter_18,Profile_iter_19,Profile_iter_20
668,1.8296214202734602,1.8404810111259444,1.849823118857665,1.8592008462589826,1.872081059548365,1.882820677201929,1.8940906527971393,1.9093051160761472,1.9211681153958362,1.9343615710094597,1.9531478083463154,1.9664302358827894,1.9822882741926344,2.003805448299584,2.019130913545124,2.0376497382932865,2.054321065190302,2.0757971813297695,2.0928306041846634,2.111642435961126,2.126770462411887
669,1.8296214202734602,1.8404810111259444,1.849823118857665,1.8592008462589826,1.872081059548365,1.882820677201929,1.8940906527971393,1.9093051160761472,1.9211681153958362,1.9343615710094597,1.9531478083463154,1.9664302358827894,1.9822882741926344,2.003805448299584,2.019130913545124,2.0376497382932865,2.054321065190302,2.0757971813297695,2.0928306041846634,2.111642435961126,2.126770462411887
670,1.8296214202734602,1.8404810111259444,1.849823118857665,1.8592008462589826,1.872081059548365,1.882820677201929,1.8940906527971393,1.9093051160761472,1.9211681153958362,1.9343615710094597,1.9531478083463154,1.9664302358827894,1.9822882741926344,2.003805448299584,2.019130913545124,2.0376497382932865,2.054321065190302,2.0757971813297695,2.0928306041846634,2.111642435961126,2.126770462411887
671,1.8296214202734602,1.8404810111259444,1.849823118857665,1.8592008462589826,1.872081059548365,1.882820677201929,1.8940906527971393,1.9093051160761472,1.9211681153958362,1.9343615710094597,1.9531478083463154,1.9664302358827894,1.9822882741926344,2.003805448299584,2.019130913545124,2.0376497382932865,2.054321065190302,2.0757971813297695,2.0928306041846634,2.111642435961126,2.126770462411887
672,1.8296214202734602,1.8404810111259444,1.849823118857665,1.8592008462589826,1.872081059548365,1.882820677201929,1.8940906527971393,1.9093051160761472,1.9211681153958362,1.9343615710094597,1.9531478083463154,1.9664302358827894,1.9822882741926344,2.003805448299584,2.019130913545124,2.0376497382932865,2.054321065190302,2.0757971813297695,2.0928306041846634,2.111642435961126,2.126770462411887
673,1.8296214202734602,1.8404810111259444,1.849823118857665,1.8592008462589826,1.872081059548365,1.882820677201929,1.8940906527971395,1.9093051160761472,1.9211681153958362,1.9343615710094597,1.9531478083463152,1.9664302358827896,1.9822882741926346,2.003805448299584,2.0191309135451236,2.0376497382932865,2.054321065190302,2.0757971813297695,2.0928306041846634,2.1116424359611266,2.126770462411887
674,1.8296214202734602,1.8404810111259444,1.8498231188576648,1.8592008462589824,1.872081059548365,1.882820677201929,1.8940906527971393,1.9093051160761474,1.9211681153958364,1.9343615710094597,1.9531478083463154,1.9664302358827894,1.9822882741926344,2.003805448299584,2.0191309135451236,2.037649738293286,2.054321065190302,2.0757971813297695,2.0928306041846634,2.1116424359611257,2.126770462411887
675,1.8296214202734602,1.8404810111259444,1.8498231188576653,1.8592008462589829,1.872081059548365,1.8828206772019287,1.8940906527971393,1.9093051160761472,1.9211681153958362,1.9343615710094597,1.9531478083463154,1.9664302358827894,1.9822882741926344,2.003805448299584,2.0191309135451236,2.0376497382932865,2.054321065190302,2.0757971813297695,2.083443120536173,2.087772751323076,2.087772751323076
676,1.8296214202734602,1.8404810111259444,1.849823118857665,1.8581029959516373,1.8581029959516373,1.860788712759682,1.860788712759682,1.8607887127596823,1.8637744161955894,1.8637744161955896,1.8637744161955896,1.8670994105883743,1.8670994105883745,1.8670994105883747,1.8708655998062353,1.8708655998062356,1.8708655998062356,1.8708655998062358,1.8708655998062358,1.8751767954426162,1.8751767954426162
677,1.6221707628725492,1.6221707628725495,1.624597133795876,1.6245971337958762,1.6245971337958762,1.6272599209629253,1.6272599209629253,1.6272599209629255,1.630219802087861,1.6302198020878613,1.6302198020878613,1.6335468770067183,1.6335468770067183,1.6335468770067185,1.6372793198684523,1.6372793198684525,1.6372793198684525,1.6372793198684528,1.6372793198684528,1.6415704919305845,1.6415704919305845
678,1.396799875968236,1.3967998759682363,1.3992162231316425,1.3992162231316427,1.3992162231316427,1.4018804424108,1.4018804424108,1.4018804424108002,1.4048140711972816,1.4048140711972819,1.4048140711972819,1.408120418564524,1.408120418564524,1.4081204185645244,1.4118423531753006,1.4118423531753008,1.4118423531753008,1.411842353175301,1.411842353175301,1.416093263623714,1.416093263623714
679,1.1721321732925967,1.172132173292597,1.1745277479758243,1.1745277479758245,1.1745277479758245,1.1771812553833914,1.1771812553833914,1.1771812553833914,1.180111524535376,1.180111524535376,1.1801115245353762,1.1833878357884935,1.1833878357884937,1.183387835788494,1.187097629750193,1.1870976297501932,1.1870976297501932,1.1870976297501932,1.1870976297501932,1.1913192195455171,1.1913192195455171
680,0.9474593777395717,0.9474593777395719,0.9498390468253683,0.9498390468253686,0.9498390468253686,0.9524684229387215,0.9524684229387215,0.9524684229387215,0.9553907446940626,0.9553907446940626,0.9553907446940628,0.9586550270178256,0.9586550270178258,0.9586550270178258,0.9623301627428378,0.9623301627428378,0.9623301627428378,0.962330162742838,0.962330162742838,0.9665449494726825,0.9665449494726825
681,0.7288372639694451,0.7288372639694454,0.7312297062091568,0.7312297062091571,0.7312297062091571,0.7338413984754482,0.7338413984754482,0.7338413984754482,0.7367361406800368,0.7367361406800368,0.736736140680037,0.7399993427438949,0.7399993427438951,0.7399993427438951,0.743648503716879,0.743648503716879,0.743648503716879,0.7436485037168792,0.7436485037168792,0.7478290180551077,0.7478290180551077
