Time(s),Initial_Profile,Profile_iter_1,Profile_iter_2,Profile_iter_3
580,0.0835908074683277,0.08561193166977715,0.08734899732546032,0.08976272813249404
581,0.08359080746832787,0.08561193166977729,0.08734899732546043,0.08976272813249393
582,0.08359080746832778,0.08561193166977718,0.08734899732546056,0.08976272813249402
583,0.0835908074683279,0.08561193166977732,0.08734899732546043,0.08976272813249388
584,0.08359080746832787,0.08561193166977726,0.08734899732546057,0.089762728132494
585,0.08359080746832775,0.0856119316697772,0.08734899732546068,0.08976272813249389
586,0.0835908074683278,0.08561193166977728,0.08734899732546031,0.08976272813249396
587,0.08359080746832785,0.0856119316697773,0.08734899732546034,0.08976272813249396
588,0.08359080746832791,0.0856119316697773,0.08734899732546057,0.08976272813249396
589,0.08359080746832791,0.08561193166977711,0.08734899732546035,0.08976272813249393
590,0.0835908074683279,0.08561193166977729,0.08734899732546032,0.08976272813249389
591,0.0835908074683279,0.0856119316697773,0.08734899732546031,0.08976272813249388
592,0.08359080746832784,0.0856119316697773,0.08734899732546074,0.08976272813249407
593,0.08359080746832787,0.08561193166977722,0.08734899732546061,0.08976272813249396
594,0.08359080746832787,0.08561193166977724,0.08734899732546061,0.08976272813249395
595,0.08359080746832791,0.08561193166977724,0.08734899732546061,0.08976272813249396
596,0.08359080746832782,0.08561193166977728,0.08734899732546063,0.08976272813249395
597,0.0835908074683279,0.0856119316697772,0.08734899732546053,0.08976272813249406
598,0.08359080746832775,0.08561193166977726,0.08734899732546059,0.08976272813249386
599,0.08359080746832784,0.08561193166977711,0.08734899732546043,0.08976272813249393
600,0.08359080746832781,0.0856119316697772,0.08734899732546074,0.08976272813249402
601,0.08359080746832775,0.08561193166977715,0.08734899732546067,0.08976272813249395
602,0.08359080746832771,0.0856119316697773,0.08734899732546061,0.08976272813249386
603,0.08359080746832788,0.08561193166977725,0.08734899732546056,0.08976272813249403
604,0.08359080746832771,0.08561193166977714,0.0873489973254607,0.08976272813249392
605,0.08359080746832778,0.0856119316697772,0.08734899732546031,0.089762728132494
606,0.08359080746832785,0.08561193166977721,0.08734899732546057,0.08976272813249404
607,0.08359080746832791,0.08561193166977724,0.08734899732546038,0.08976272813249388
608,0.08359080746832788,0.08561193166977725,0.08734899732546063,0.08976272813249388
609,0.08359080746832805,0.08561193166977721,0.08734899732546032,0.08976272813249403
610,0.08359080746832802,0.08561193166977715,0.08734899732546049,0.08976272813249399
611,0.08359080746832773,0.08561193166977729,0.08734899732546042,0.08976272813249395
612,0.08359080746832803,0.08561193166977714,0.08734899732546055,0.08976272813249404
613,0.08359080746832791,0.0856119316697772,0.0873489973254604,0.08976272813249392
614,0.08359080746832778,0.08561193166977724,0.08734899732546068,0.08976272813249397
615,0.08359080746832805,0.08561193166977728,0.08734899732546031,0.08976272813249407
616,0.08359080746832782,0.08561193166977721,0.08734899732546053,0.08976272813249386
617,0.08359080746832781,0.08561193166977712,0.08734899732546052,0.08976272813249386
618,0.08359080746832781,0.08561193166977725,0.08734899732546048,0.08976272813249409
619,0.08359080746832777,0.08561193166977736,0.08734899732546027,0.08976272813249406
